City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,Sao Joao Da Barra,-21.64,-41.05,73.18,86,61,12.48,BR,2020-05-06 00:25:31
139,Mto Wa Mbu,-3.35,35.85,68.76,82,79,4.0,TZ,2020-05-06 00:25:31
140,Shubarkuduk,49.14,56.49,50.58,54,30,11.39,KZ,2020-05-06 00:25:31
141,Fomboni,-12.28,43.74,81.5,82,83,14.32,KM,2020-05-06 00:25:31
142,Kilakarai,9.23,78.78,85.01,72,41,1.28,IN,2020-05-06 00:25:31
143,Jamestown,42.1,-79.24,46.0,42,1,10.29,US,2020-05-06 00:25:31
144,Port Blair,11.67,92.75,83.3,75,74,4.14,IN,2020-05-06 00:22:14
145,Bengkulu,-3.8,102.27,77.4,85,95,4.32,ID,2020-05-06 00:25:32
146,Nishihara,26.18,127.76,77.0,94,90,17.22,JP,2020-05-06 00:25:32
147,Hede,33.77,120.25,62.31,77,9,13.94,CN,2020-05-06 00:25:32
148,Brownwood,31.71,-98.99,77.0,25,1,10.29,US,2020-05-06 00:25:32
149,Gumdag,39.21,54.59,74.39,31,76,23.31,TM,2020-05-06 00:25:33
150,Moron,-34.65,-58.62,55.99,100,23,13.31,AR,2020-05-06 00:25:33
151,Nuuk,64.18,-51.72,30.2,86,75,13.87,GL,2020-05-06 00:25:33
152,Walvis Bay,-22.96,14.51,79.95,21,0,10.36,NA,2020-05-06 00:25:33
153,Saryozek,44.36,77.98,37.56,74,66,6.71,KZ,2020-05-06 00:25:33
154,Severo-Kurilsk,50.68,156.12,34.23,89,99,31.34,RU,2020-05-06 00:25:33
155,Megion,61.03,76.11,44.6,81,98,6.71,RU,2020-05-06 00:21:23
156,Alice Springs,-23.7,133.88,64.4,23,0,8.05,AU,2020-05-06 00:21:02
157,Moose Factory,51.26,-80.61,33.8,64,1,6.93,CA,2020-05-06 00:25:34
158,Tebingtinggi,3.33,99.16,77.0,100,75,3.36,ID,2020-05-06 00:25:34
159,Tabou,4.42,-7.35,80.55,84,98,5.21,CI,2020-05-06 00:25:34
160,Hof,50.32,11.92,34.0,80,20,1.99,DE,2020-05-06 00:25:34
161,Geraldton,-28.77,114.6,64.4,63,90,16.11,AU,2020-05-06 00:25:34
162,Cairns,-16.92,145.77,75.2,78,75,10.29,AU,2020-05-06 00:25:34
163,Victoria,22.29,114.16,86.0,74,40,6.93,HK,2020-05-06 00:25:35
164,Boa Vista,2.82,-60.67,80.6,83,75,9.17,BR,2020-05-06 00:25:09
165,Chuy,-33.7,-53.46,55.56,75,56,16.8,UY,2020-05-06 00:25:35
166,Leshukonskoye,64.9,45.76,29.61,98,85,2.51,RU,2020-05-06 00:25:35
167,Minsk,53.9,27.57,48.2,100,75,6.71,BY,2020-05-06 00:22:30
168,Hermanus,-34.42,19.23,59.0,90,63,8.48,ZA,2020-05-06 00:25:35
169,Cayenne,4.93,-52.33,80.6,88,98,5.82,GF,2020-05-06 00:25:36
170,Mahebourg,-20.41,57.7,73.4,94,75,11.41,MU,2020-05-06 00:25:36
171,Gasa,31.5,34.47,63.0,79,2,3.0,PS,2020-05-06 00:23:18
172,Yumen,40.28,97.2,52.36,73,100,1.81,CN,2020-05-06 00:24:22
173,Nelson Bay,-32.72,152.15,57.99,100,90,8.05,AU,2020-05-06 00:25:36
174,Khatanga,71.97,102.5,4.24,91,0,11.52,RU,2020-05-06 00:21:06
175,Ubeda,38.01,-3.37,64.99,57,0,4.0,ES,2020-05-06 00:25:37
176,Shitanjing,39.23,106.34,58.1,84,100,10.18,CN,2020-05-06 00:25:37
177,Veraval,20.9,70.37,79.32,86,0,9.98,IN,2020-05-06 00:25:37
178,Flinders,-34.58,150.86,68.0,70,46,3.0,AU,2020-05-06 00:25:37
179,Sjenica,43.27,20.0,46.87,90,80,3.71,RS,2020-05-06 00:25:37
180,Whitehorse,60.72,-135.05,57.2,24,75,9.17,CA,2020-05-06 00:25:37
181,Umm Lajj,25.02,37.27,75.88,49,0,13.91,SA,2020-05-06 00:25:37
182,Sao Filipe,14.9,-24.5,73.83,78,0,12.46,CV,2020-05-06 00:21:22
183,Nikolskoye,59.7,30.79,48.2,61,41,4.47,RU,2020-05-06 00:21:43
